PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Average_Age,Max_Age,Min_Age,Average_Fare,Max_Fare,Min_Fare,Date,Time,Children,Adolescent,Adult,OldAge
1,0,3,male,22.0,1,0,A/5 21171,7.25,,S,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,False,False,True,False
2,1,1,female,38.0,1,0,PC 17599,71.2833,C85,C,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,False,False,True,False
3,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,,S,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,False,False,True,False
4,1,1,female,35.0,1,0,113803,53.1,C123,S,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,False,False,True,False
5,0,3,male,35.0,0,0,373450,8.05,,S,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,False,False,True,False
6,0,3,male,,0,0,330877,8.4583,,Q,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,False,False,False,False
7,0,1,male,54.0,0,0,17463,51.8625,E46,S,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,False,False,True,False
8,0,3,male,2.0,3,1,349909,21.075,,S,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,True,False,False,False
9,1,3,female,27.0,0,2,347742,11.1333,,S,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,False,False,True,False
10,1,2,female,14.0,1,0,237736,30.0708,,C,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,False,True,False,False
11,1,3,female,4.0,1,1,PP 9549,16.7,G6,S,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,True,False,False,False
12,1,1,female,58.0,0,0,113783,26.55,C103,S,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,False,False,True,False
13,0,3,male,20.0,0,0,A/5. 2151,8.05,,S,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,False,False,True,False
14,0,3,male,39.0,1,5,347082,31.275,,S,29.69911764705882,80.0,0.42,32.2,512.3292,0.0,2024-11-10,07:38:16 AM,False,False,True,False
