Title,Author,Url,Description
"Apple’s headphone adapter for older iPhones sells out, possibly never to return - Ars Technica",Samuel Axon,https://arstechnica.com/gadgets/2024/11/apples-headphone-adapter-for-older-iphones-sells-out-possibly-never-to-return/,"The end of Lightning is nigh. It’s a bummer for folks with older phones, though."
Source: Google is turning Chrome OS into Android to compete with the iPad - Android Authority,,https://www.androidauthority.com/chrome-os-becoming-android-3500661/,A source within Google has told Android Authority that Google plans to basically turn Chrome OS into Android.
"Assassin's Creed Syndicate Gets Surprise 60fps Update on Xbox Series X and S, PS5 and PS5 Pro - IGN",Wesley Yin-Poole,https://www.ign.com/articles/assassins-creed-syndicate-gets-surprise-60fps-update-on-xbox-series-x-and-s-ps5-and-ps5-pro,"Ubisoft has issued a surprise update for Assassin's Creed Syndicate on Xbox Series X and S, PS5, and PS5 Pro that lets you play at 60 frames per second."
Student-Built Rocket Shatters Altitude Record - Gizmodo,Passant Rabie,https://gizmodo.com/student-built-rocket-shatters-altitude-record-2000525846,Aftershock II reached further into space than any other independently built rocket.
The Game Awards announces Game of the Year 2024 nominees - Polygon,Zoë Hannah,https://www.polygon.com/480312/game-awards-2024-nominees-list-game-of-the-year,The Game Awards announced its nominees for 2024’s Game of the Year in a livestream Monday.
Save On Final Fantasy Pixel Remasters In Square Enix's Switch eShop Sale (North America) - Nintendo Life,Jim Norman,https://www.nintendolife.com/news/2024/11/save-on-final-fantasy-pixel-remasters-in-square-enixs-switch-eshop-sale-north-america,Pixel perfect
April Fools’ joke results in Japanese firm making a beige ’80s throwback PC case - Ars Technica,Kevin Purdy,https://arstechnica.com/gadgets/2024/11/big-beige-80s-pc-case-started-out-as-a-joke-but-its-becoming-real-in-japan/,You can fit lots of modern hardware inside—and prop your monitor on top.
Nintendo Is Offering An Extra Code With Any 12-Month Individual NSO Purchase - Nintendo Life,Ollie Reynolds,https://www.nintendolife.com/news/2024/11/nintendo-is-offering-an-extra-code-with-any-12-month-individual-nso-purchase,Bring a friend
WD’s 1TB Xbox Series X/S expansion card is down to a record low $100 - The Verge,Quentyn Kennemer,https://www.theverge.com/2024/11/18/24299443/western-digital-wd-black-c50-1tb-expansion-card-series-x-s-deal-sale,"Western Digital’s 1TB expansion card for Xbox Series X/S is an all-time low $100. You can also save $25 on Diablo IV with its latest expansion, among other great deals."
"The best sales to shop: Away, Bissell, Oura and more - CNN Underscored","Rikka Altland, Jacqueline Saguin, Elena Matarazzo",https://www.cnn.com/cnn-underscored/deals/best-online-sales-right-now-2024-11-18,"Today, you’ll find a deal on an Ocoopa UT4 Urban, a discounted Oura Ring Gen3 Horizon and savings on a Samsung The Frame TV. All that and more below."
Google Pixel and other Android phones add 'Screen time reminders' to help you stop doomscrolling - 9to5Google,Ben Schoon,http://9to5google.com/2024/11/18/google-screen-time-reminders-android-pixel/,"A new feature called ""Screen time reminders"" is now available on Google Pixel devices as well as other Android phones."
[Removed],,https://removed.com,[Removed]
Exclusive: Google Pixel Laptop in Development! - Android Headlines,Alexander Maxham,https://www.androidheadlines.com/exclusive-google-pixel-laptop-development.html,"Google is finally working on a new high-end laptop that will be under the Pixel branding. According to an internal email, the codename for this laptop is"
Google Play unveils its top apps and games of 2024 - Android Central,Jay Bonggolto,https://www.androidcentral.com/apps-software/google-play-unveils-its-top-apps-and-games-of-2024,Google Play's 2024 app and game awards highlight the year's best mobile experiences.
"Half-Life 2 Gets Big 20th Anniversary Update, As New Information On Episode 3 Revealed - GameSpot",Eddie Makuch,https://www.gamespot.com/articles/half-life-2-gets-big-20th-anniversary-update-as-new-information-on-episode-3-revealed/1100-6527820/,"Valve explains why it never released Half-Life 2: Episode 3, despite working on it for six months."
This house is made for LAN gaming parties - The Verge,Jess Weatherbed,https://www.theverge.com/2024/11/18/24299455/house-lan-gaming-parties-software-engineer-kenton-varda,"Cloudflare engineer Kenton Varda transformed a house into the ultimate LAN gaming pad, complete with 22 PC gaming stations and its own dedicated server room."
"Super Mario 64 speedrunning is ""dead"" after one runner claims all 5 major categories in what's being dubbed ""the greatest speedrunning achievement of all time"" - Gamesradar",Anna Koselke,https://www.gamesradar.com/games/super-mario/super-mario-64-speedrunning-is-dead-after-one-runner-claims-all-5-major-categories-in-whats-being-dubbed-the-greatest-speedrunning-achievement-of-all-time/,"He accomplished what ""seemed completely impossible"" before"
[Removed],,https://removed.com,[Removed]
Horizon Zero Dawn's Second Lego Set Is Coming And It Won't Break The Bank - Kotaku,Ethan Gach,https://kotaku.com/lego-horizon-adventure-zero-dawn-set-aloy-release-date-1851701641,"The Lego Horizon Adventures tie-in features Aloy, Varl, and two prehistoric robots"
"Dark Souls 3 Remaster Is In Development, It’s Claimed - Insider Gaming",Mike Straw,https://insider-gaming.com/dark-souls-3-remaster-is-in-development-its-claimed/,"According to a new report, FromSoftware is working on a Dark Souls 3 remaster to bring the 2016 classic to a new audience."
