student_id,course,final_grade
S0001,Data Science,97.0
S0002,Data Science,
S0003,%Data Engineering,97.0
S0004,,89.0
S0005,%Cloud Computing,65.0
S0006,Data Engineering,74.0
S0007,AI Fundamentals,
S0008,AI Fundamentals,60.0
S0009,AI Fundamentals,54.0
S0010,AI Fundamentals,70.0
S0011,AI Fundamentals,91.0
S0012,Cloud Computing,90.0
S0013,AI Fundamentals,61.0
S0014,Cloud Computing,79.0
S0015,Data Science,53.0
S0016,Data Science,94.0
S0017,Data Engineering,76.0
S0018,AI Fundamentals,77.0
S0019,Data Science,52.0
S0020,Cloud Computing,52.0
S0021,Cloud Computing,73.0
S0022,Cloud Computing,95.0
S0023,Data Engineering,78.0
S0024,Cloud Computing,68.0
S0025,Data Engineering,97.0
S0026,Cloud Computing,51.0
S0027,Data Engineering,54.0
S0028,Data Engineering,86.0
S0029,Data Science,67.0
S0030,Data Science,74.0
S0031,Cloud Computing,75.0
S0032,Data Science,93.0
S0033,Data Engineering,62.0
S0034,Data Engineering,84.0
S0035,AI Fundamentals,71.0
S0036,AI Fundamentals,100.0
S0037,Data Engineering,59.0
S0038,Data Science,86.0
S0039,Data Engineering,93.0
S0040,Cloud Computing,91.0
S0041,AI Fundamentals,56.0
S0042,AI Fundamentals,67.0
S0043,Data Science,81.0
S0044,Data Engineering,100.0
S0045,AI Fundamentals,97.0
S0046,Data Science,94.0
S0047,AI Fundamentals,56.0
S0048,Data Science,100.0
S0049,AI Fundamentals,66.0
S0050,Cloud Computing,80.0
S0051,AI Fundamentals,78.0
S0052,Data Engineering,61.0
S0053,Data Science,82.0
S0054,Data Science,88.0
S0055,AI Fundamentals,75.0
S0056,Data Engineering,88.0
S0057,AI Fundamentals,79.0
S0058,AI Fundamentals,52.0
S0059,AI Fundamentals,69.0
S0060,Cloud Computing,62.0
S0061,Data Science,68.0
S0062,Data Engineering,50.0
S0063,Cloud Computing,91.0
S0064,Cloud Computing,72.0
S0065,AI Fundamentals,67.0
S0066,AI Fundamentals,92.0
S0067,AI Fundamentals,54.0
S0068,Data Science,54.0
S0069,AI Fundamentals,68.0
S0070,Cloud Computing,55.0
S0071,Data Science,64.0
S0072,Cloud Computing,60.0
S0073,Data Science,100.0
S0074,Data Science,79.0
S0075,Data Science,69.0
S0076,Cloud Computing,84.0
S0077,Data Science,53.0
S0078,Cloud Computing,58.0
S0079,Data Engineering,76.0
S0080,Cloud Computing,68.0
S0081,Cloud Computing,54.0
S0082,Data Science,57.0
S0083,Data Science,92.0
S0084,AI Fundamentals,79.0
S0085,Data Engineering,85.0
S0086,Data Engineering,65.0
S0087,AI Fundamentals,96.0
S0088,Cloud Computing,95.0
S0089,Cloud Computing,53.0
S0090,Data Science,53.0
S0091,Data Engineering,56.0
S0092,Data Science,52.0
S0093,AI Fundamentals,87.0
S0094,Data Engineering,74.0
S0095,Data Science,85.0
S0096,Data Engineering,53.0
S0097,Data Engineering,57.0
S0098,Data Science,77.0
S0099,Data Science,100.0
S0100,Data Engineering,52.0
S0101,AI Fundamentals,98.0
S0102,Cloud Computing,57.0
S0103,Data Engineering,60.0
S0104,AI Fundamentals,95.0
S0105,Data Engineering,98.0
S0106,Data Science,55.0
S0107,AI Fundamentals,90.0
S0108,AI Fundamentals,72.0
S0109,Data Engineering,93.0
S0110,Cloud Computing,51.0
S0111,Data Engineering,56.0
S0112,Cloud Computing,78.0
S0113,AI Fundamentals,55.0
S0114,Cloud Computing,90.0
S0115,Data Science,60.0
S0116,Cloud Computing,57.0
S0117,Cloud Computing,79.0
S0118,AI Fundamentals,86.0
S0119,Cloud Computing,68.0
S0120,AI Fundamentals,97.0
S0121,Data Science,52.0
S0122,Data Science,91.0
S0123,Data Engineering,79.0
S0124,Data Engineering,82.0
S0125,Data Engineering,99.0
S0126,Data Science,75.0
S0127,Cloud Computing,86.0
S0128,AI Fundamentals,69.0
S0129,Data Science,82.0
S0130,Cloud Computing,77.0
S0131,Data Engineering,76.0
S0132,AI Fundamentals,78.0
S0133,Data Engineering,95.0
S0134,AI Fundamentals,73.0
S0135,Cloud Computing,68.0
S0136,Data Science,55.0
S0137,Data Engineering,51.0
S0138,Data Science,71.0
S0139,Cloud Computing,84.0
S0140,Cloud Computing,51.0
S0141,Cloud Computing,79.0
S0142,Data Science,95.0
S0143,Data Science,84.0
S0144,AI Fundamentals,64.0
S0145,Data Science,92.0
S0146,Data Science,80.0
S0147,Cloud Computing,59.0
S0148,AI Fundamentals,77.0
S0149,Data Science,57.0
S0150,Data Science,62.0
S0151,Cloud Computing,79.0
S0152,Data Science,86.0
S0153,Cloud Computing,88.0
S0154,AI Fundamentals,78.0
S0155,Cloud Computing,99.0
S0156,Cloud Computing,71.0
S0157,AI Fundamentals,73.0
S0158,Data Engineering,87.0
S0159,Cloud Computing,70.0
S0160,Data Science,63.0
S0161,Cloud Computing,95.0
S0162,AI Fundamentals,90.0
S0163,Data Science,100.0
S0164,AI Fundamentals,91.0
S0165,Cloud Computing,51.0
S0166,AI Fundamentals,58.0
S0167,AI Fundamentals,89.0
S0168,Data Engineering,94.0
S0169,Cloud Computing,59.0
S0170,Cloud Computing,99.0
S0171,Cloud Computing,67.0
S0172,Cloud Computing,99.0
S0173,Data Science,75.0
S0174,AI Fundamentals,73.0
S0175,Cloud Computing,90.0
S0176,Data Science,60.0
S0177,Cloud Computing,76.0
S0178,AI Fundamentals,63.0
S0179,Cloud Computing,81.0
S0180,Data Science,71.0
S0181,Data Science,83.0
S0182,AI Fundamentals,95.0
S0183,Cloud Computing,51.0
S0184,Data Science,82.0
S0185,Data Engineering,93.0
S0186,Cloud Computing,56.0
S0187,Data Engineering,84.0
S0188,Data Science,80.0
S0189,Data Science,96.0
S0190,AI Fundamentals,76.0
S0191,AI Fundamentals,88.0
S0192,Cloud Computing,86.0
S0193,Data Science,67.0
S0194,Data Science,98.0
S0195,Data Science,62.0
S0196,Data Science,97.0
S0197,Data Engineering,89.0
S0198,Data Science,98.0
S0199,AI Fundamentals,98.0
S0200,Cloud Computing,75.0
S0201,Cloud Computing,50.0
S0202,Cloud Computing,88.0
S0203,Data Engineering,80.0
S0204,Data Science,91.0
S0205,Cloud Computing,97.0
S0206,AI Fundamentals,86.0
S0207,Data Engineering,88.0
S0208,Data Science,78.0
S0209,Data Science,92.0
S0210,Data Science,73.0
S0211,Data Science,65.0
S0212,Data Engineering,88.0
S0213,AI Fundamentals,88.0
S0214,Data Science,72.0
S0215,Data Engineering,98.0
S0216,Data Engineering,57.0
S0217,AI Fundamentals,87.0
S0218,Data Engineering,100.0
S0219,Data Engineering,52.0
S0220,Cloud Computing,63.0
S0221,Cloud Computing,70.0
S0222,AI Fundamentals,96.0
S0223,Cloud Computing,79.0
S0224,Data Engineering,82.0
S0225,Data Engineering,69.0
S0226,AI Fundamentals,94.0
S0227,Data Engineering,94.0
S0228,AI Fundamentals,72.0
S0229,Cloud Computing,72.0
S0230,Cloud Computing,94.0
S0231,Data Science,87.0
S0232,Cloud Computing,84.0
S0233,Data Science,88.0
S0234,Data Science,71.0
S0235,Data Science,78.0
S0236,Data Engineering,98.0
S0237,Data Science,84.0
S0238,Cloud Computing,51.0
S0239,AI Fundamentals,95.0
S0240,Cloud Computing,96.0
S0241,AI Fundamentals,67.0
S0242,Cloud Computing,84.0
S0243,AI Fundamentals,93.0
S0244,Cloud Computing,63.0
S0245,AI Fundamentals,67.0
S0246,Data Science,81.0
S0247,AI Fundamentals,71.0
S0248,Data Science,84.0
S0249,Cloud Computing,95.0
S0250,AI Fundamentals,51.0
S0251,AI Fundamentals,55.0
S0252,Cloud Computing,97.0
S0253,Data Science,100.0
S0254,Data Science,88.0
S0255,Data Engineering,81.0
S0256,Data Engineering,78.0
S0257,Data Engineering,88.0
S0258,AI Fundamentals,100.0
S0259,AI Fundamentals,98.0
S0260,AI Fundamentals,54.0
S0261,Cloud Computing,87.0
S0262,Data Engineering,57.0
S0263,Cloud Computing,53.0
S0264,Data Engineering,71.0
S0265,Data Engineering,71.0
S0266,AI Fundamentals,76.0
S0267,Data Science,52.0
S0268,Data Engineering,78.0
S0269,Data Science,97.0
S0270,Cloud Computing,82.0
S0271,AI Fundamentals,87.0
S0272,Data Engineering,83.0
S0273,AI Fundamentals,85.0
S0274,Cloud Computing,82.0
S0275,Data Science,89.0
S0276,AI Fundamentals,67.0
S0277,AI Fundamentals,59.0
S0278,Data Engineering,85.0
S0279,Data Science,94.0
S0280,Cloud Computing,72.0
S0281,Data Engineering,55.0
S0282,AI Fundamentals,72.0
S0283,AI Fundamentals,59.0
S0284,Data Science,51.0
S0285,Cloud Computing,93.0
S0286,Cloud Computing,55.0
S0287,AI Fundamentals,92.0
S0288,Cloud Computing,54.0
S0289,Data Engineering,57.0
S0290,Data Science,69.0
S0291,AI Fundamentals,100.0
S0292,Cloud Computing,88.0
S0293,Cloud Computing,63.0
S0294,Data Engineering,61.0
S0295,Cloud Computing,73.0
S0296,Data Engineering,88.0
S0297,Data Science,61.0
S0298,AI Fundamentals,90.0
S0299,Data Engineering,81.0
S0300,Cloud Computing,53.0
S0301,Cloud Computing,52.0
S0302,Data Science,57.0
S0303,Data Engineering,52.0
S0304,AI Fundamentals,75.0
S0305,Cloud Computing,96.0
S0306,Data Engineering,55.0
S0307,Cloud Computing,66.0
S0308,AI Fundamentals,100.0
S0309,Data Engineering,58.0
S0310,Cloud Computing,67.0
S0311,AI Fundamentals,100.0
S0312,Data Engineering,78.0
S0313,Data Engineering,64.0
